Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,
301,Manhattan,MAAC,1-1,-11,92.5,103.5,69.6,,,,,
254,Marist,MAAC,3-1,-7.71,91.4,99.1,68.1,,,,,
33,Marquette,BE,5-2,17.76,109.8,92.1,69.6,,,,,
83,Marshall,CUSA,4-1,9.36,105.5,96.1,75.2,,,,,
50,Maryland,B10,4-2,15.85,109.7,93.9,68.3,,,,,
354,Maryland Eastern Shore,MEAC,0-0,-25.73,82.4,108.1,70.5,,,,,
110,Massachusetts,A10,2-1,5.86,105.4,99.6,73.1,,,,,
329,McNeese St.,Slnd,4-2,-14.3,96.3,110.7,72,,,,,
57,Memphis,Amer,5-3,14.58,103.5,88.9,75.5,,,,,
148,Mercer,SC,6-1,1.14,102.1,100.9,72.6,,,,,
300,Merrimack,NEC,0-0,-10.99,91.1,102.1,67.4,,,,,
62,Miami FL,ACC,3-2,12.73,104,91.3,71,,,,,
210,Miami OH,MAC,3-2,-4.37,96.9,101.2,69.1,,,,,
15,Michigan,B10,6-0,21.03,112.2,91.1,70,,,,,
20,Michigan St.,B10,6-0,20.28,111.8,91.6,74.1,,,,,
202,Middle Tennessee,CUSA,2-4,-3.59,93.3,96.9,73.5,,,,,
256,Milwaukee,Horz,1-1,-7.78,96.1,103.8,71,,,,,
55,Minnesota,B10,6-1,15.08,107.4,92.3,73.7,,,,,
40,Mississippi,SEC,4-0,17.29,105.2,87.9,69.7,,,,,
78,Mississippi St.,SEC,4-3,9.9,106.8,96.9,66.6,,,,,
357,Mississippi Valley St.,SWAC,0-7,-32.62,83.7,116.3,75.9,,,,,
37,Missouri,SEC,5-0,17.38,109.3,91.9,70.1,,,,,
171,Missouri St.,MVC,1-0,-1.19,100.1,101.3,70.6,,,,,
192,Monmouth,MAAC,0-1,-3.25,98.7,101.9,75.4,,,,,
162,Montana,BSky,1-4,-0.48,97.6,98.1,68.9,,,,,
189,Montana St.,BSky,2-1,-2.81,98.6,101.4,71,,,,,
295,Morehead St.,OVC,4-4,-10.52,93.9,104.4,67.7,,,,,
324,Morgan St.,MEAC,2-1,-13.46,91.4,104.9,71.3,,,,,
236,Mount St. Mary's,NEC,2-3,-6.4,95.6,102,65.3,,,,,
102,Murray St.,OVC,4-2,6.74,103.5,96.8,69.9,,,,,
38,N.C. State,ACC,3-0,17.38,109.5,92.1,71.4,,,,,
181,Navy,Pat,3-1,-1.9,99.9,101.8,66.8,,,,,
118,Nebraska,B10,3-3,4.99,101.3,96.3,74.9,,,,,
247,Nebraska Omaha,Sum,2-6,-7.1,94.6,101.7,72.5,,,,,
124,Nevada,MWC,5-2,4.3,102.1,97.8,72,,,,,
218,New Hampshire,AE,1-2,-5.22,94.2,99.4,72.9,,,,,
206,New Mexico,MWC,2-0,-3.8,98.9,102.7,72.2,,,,,
105,New Mexico St.,WAC,2-0,6.5,103.2,96.7,68.2,,,,,
320,New Orleans,Slnd,1-6,-13.18,92.6,105.8,72.4,,,,,
265,Niagara,MAAC,0-3,-8.46,94.1,102.6,69.2,,,,,
235,Nicholls St.,Slnd,2-3,-6.16,95.9,102.1,72.7,,,,,
196,NJIT,AE,0-0,-3.37,96.2,99.6,70,,,,,
238,Norfolk St.,MEAC,3-2,-6.42,93.4,99.8,68.7,,,,,
266,North Alabama,ASun,2-2,-8.51,94.7,103.2,72.5,,,,,
27,North Carolina,ACC,4-2,19.02,108.6,89.6,72.3,,,,,
316,North Carolina A&T,MEAC,2-7,-12.55,92.6,105.2,72.3,,,,,
