Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,,,
229,Illinois St.,MVC,3-3,-5.81,97.3,103.1,72.8,,,,,,,
344,Incarnate Word,Slnd,1-3,-19.35,91.5,110.8,69.2,,,,,,,
17,Indiana,B10,5-2,20.71,108.6,87.9,69.4,,,,,,,
145,Indiana St.,MVC,3-2,1.85,101.4,99.6,71.3,,,,,,,
225,Iona,MAAC,4-3,-5.64,97.9,103.5,69.3,,,,,,,
5,Iowa,B10,7-1,25.07,119.5,94.4,73.9,,,,,,,
91,Iowa St.,B12,2-4,8.58,105.9,97.3,70,,,,,,,
263,IUPUI,Horz,1-0,-8.35,98.5,106.8,73.3,,,,,,,
320,Jackson St.,SWAC,0-5,-13.34,89,102.4,72,,,,,,,
302,Jacksonville,ASun,6-4,-11.56,92.8,104.4,69.9,,,,,,,
242,Jacksonville St.,OVC,5-2,-6.64,95.6,102.2,68.2,,,,,,,
250,James Madison,CAA,3-3,-7.52,98.7,106.2,73.5,,,,,,,
6,Kansas,B12,8-1,23.85,112,88.1,70.1,,,,,,,
147,Kansas St.,B12,4-5,1.72,101.3,99.6,66,,,,,,,
348,Kennesaw St.,ASun,3-5,-20.48,86.1,106.6,69.2,,,,,,,
146,Kent St.,MAC,3-1,1.76,102.7,100.9,71.7,,,,,,,
50,Kentucky,SEC,1-5,15.71,106.3,90.6,70.4,,,,,,,
175,La Salle,A10,3-5,-1.48,97.5,99,68.8,,,,,,,
231,Lafayette,Pat,0-0,-5.84,100.1,105.9,70.1,,,,,,,
305,Lamar,Slnd,1-7,-12,91,103,72.5,,,,,,,
289,Lehigh,Pat,0-0,-10.51,96.5,107,71.1,,,,,,,
106,Liberty,ASun,8-3,6.48,105.4,98.9,65.1,,,,,,,
219,Lipscomb,ASun,4-5,-5.15,100.9,106,67.7,,,,,,,
148,Little Rock,SB,4-3,1.64,103.8,102.2,70.1,,,,,,,
276,LIU,NEC,1-1,-9.35,94.3,103.6,74.3,,,,,,,
254,Long Beach St.,BW,1-2,-7.6,97.1,104.7,74.6,,,,,,,
319,Longwood,BSth,1-7,-13.29,92.6,105.9,69.9,,,,,,,
165,Louisiana,SB,6-1,-0.89,97.8,98.7,75.1,,,,,,,
296,Louisiana Monroe,SB,2-5,-10.86,92.7,103.5,67.6,,,,,,,
119,Louisiana Tech,CUSA,7-2,4.91,102.4,97.5,71.8,,,,,,,
31,Louisville,ACC,5-1,18.19,109.5,91.3,67.5,,,,,,,
54,Loyola Chicago,MVC,4-2,14.85,107.6,92.7,69,,,,,,,
129,Loyola Marymount,WCC,5-3,3.55,102.5,99,68.7,,,,,,,
249,Loyola MD,Pat,0-0,-7.37,97.9,105.3,72.2,,,,,,,
28,LSU,SEC,4-1,18.47,115.3,96.8,70.6,,,,,,,
347,Maine,AE,0-3,-19.84,86.7,106.6,68.1,,,,,,,
321,Manhattan,MAAC,1-3,-13.49,91.1,104.6,69.3,,,,,,,
228,Marist,MAAC,5-1,-5.76,92.1,97.8,67.4,,,,,,,
42,Marquette,BE,5-4,16.68,111.4,94.7,69,,,,,,,
80,Marshall,CUSA,6-1,9.93,106.2,96.3,75.8,,,,,,,
49,Maryland,B10,5-2,15.8,111.2,95.4,67.9,,,,,,,
354,Maryland Eastern Shore,MEAC,0-0,-25.73,83,108.8,70.1,,,,,,,
121,Massachusetts,A10,2-2,4.63,105.7,101,73.7,,,,,,,
327,McNeese St.,Slnd,4-3,-14.1,96.4,110.5,71.9,,,,,,,
61,Memphis,Amer,5-4,13.19,102.3,89.1,75,,,,,,,
153,Mercer,SC,7-1,1.07,103.1,102,72.9,,,,,,,
299,Merrimack,NEC,0-0,-10.99,91.8,102.8,67,,,,,,,
67,Miami FL,ACC,4-2,11.74,104.3,92.6,70.5,,,,,,,
202,Miami OH,MAC,3-3,-3.66,98.9,102.5,67.8,,,,,,,
16,Michigan,B10,6-0,21.34,113,91.6,69.3,,,,,,,
27,Michigan St.,B10,6-1,18.47,111.7,93.3,73,,,,,,,
198,Middle Tennessee,CUSA,2-4,-3.51,94.1,97.6,73.1,,,,,,,
236,Milwaukee,Horz,3-1,-6.21,96.9,103.1,69.9,,,,,,,
52,Minnesota,B10,7-1,15.52,108.9,93.4,74.8,,,,,,,
34,Mississippi,SEC,5-1,17.71,105.5,87.8,69.4,,,,,,,
79,Mississippi St.,SEC,5-3,10.11,107.7,97.6,65.5,,,,,,,
357,Mississippi Valley St.,SWAC,0-8,-33.15,84.1,117.3,74.6,,,,,,,
40,Missouri,SEC,6-0,16.82,108.3,91.5,69.7,,,,,,,
156,Missouri St.,MVC,3-0,0.84,102.7,101.8,70.8,,,,,,,
193,Monmouth,MAAC,1-2,-3.1,99.7,102.8,76.2,,,,,,,
149,Montana,BSky,3-5,1.58,98.7,97.1,68.4,,,,,,,
213,Montana St.,BSky,2-3,-4.84,97.2,102,70.8,,,,,,,
290,Morehead St.,OVC,4-6,-10.73,94.2,104.9,66.6,,,,,,,
308,Morgan St.,MEAC,3-2,-12.13,92.2,104.4,70.8,,,,,,,
239,Mount St. Mary's,NEC,2-3,-6.39,96.2,102.6,64.7,,,,,,,
110,Murray St.,OVC,4-3,6.21,104,97.8,69,,,,,,,
39,N.C. State,ACC,5-1,16.97,108.7,91.7,73,,,,,,,
184,Navy,Pat,3-1,-1.98,100.4,102.4,66.4,,,,,,,
117,Nebraska,B10,4-4,5.1,101.5,96.4,73.7,,,,,,,
241,Nebraska Omaha,Sum,2-7,-6.61,95.6,102.2,72.7,,,,,,,
130,Nevada,MWC,6-3,3.55,101.8,98.2,72.5,,,,,,,
218,New Hampshire,AE,1-2,-5.07,94.9,99.9,72.1,,,,,,,
216,New Mexico,MWC,3-1,-4.91,98.8,103.7,71.1,,,,,,,
105,New Mexico St.,WAC,2-0,6.5,103.9,97.4,67.8,,,,,,,
324,New Orleans,Slnd,1-7,-13.77,93.3,107.1,71.2,,,,,,,
226,Niagara,MAAC,3-3,-5.66,97.9,103.5,66.6,,,,,,,
238,Nicholls St.,Slnd,2-3,-6.25,96.6,102.9,72.3,,,,,,,
205,NJIT,AE,0-1,-4.03,96.4,100.4,69.7,,,,,,,
247,Norfolk St.,MEAC,3-3,-6.95,94.9,101.8,67.9,,,,,,,
265,North Alabama,ASun,4-2,-8.57,95.3,103.9,72.2,,,,,,,
22,North Carolina,ACC,5-3,19.56,109.6,90,72.1,,,,,,,
317,North Carolina A&T,MEAC,3-9,-13.07,93.8,106.9,72.2,,,,,,,
264,North Carolina Central,MEAC,1-3,-8.52,95.2,103.8,68.8,,,,,,,
275,North Dakota,Sum,1-8,-9.31,95.7,105,67.9,,,,,,,
164,North Dakota St.,Sum,2-6,-0.81,99.2,100,66.8,,,,,,,
292,North Florida,ASun,2-8,-10.74,99.7,110.5,69.1,,,,,,,
102,North Texas,CUSA,4-3,6.77,103,96.2,67.5,,,,,,,
170,Northeastern,CAA,1-4,-1.16,99.7,100.8,68.4,,,,,,,
334,Northern Arizona,BSky,1-5,-15.04,94.9,110,66.8,,,,,,,
204,Northern Colorado,BSky,4-2,-3.83,98.5,102.4,69.7,,,,,,,
304,Northern Illinois,MAC,1-6,-11.8,93.4,105.2,66.3,,,,,,,
89,Northern Iowa,MVC,1-4,8.69,106.8,98.1,71.1,,,,,,,
197,Northern Kentucky,Horz,3-4,-3.45,100.7,104.1,68.3,,,,,,,
56,Northwestern,B10,4-1,13.71,106.7,92.9,71.1,,,,,,,
297,Northwestern St.,Slnd,1-9,-10.9,97,107.9,74.2,,,,,,,
86,Notre Dame,ACC,2-4,9.33,110,100.7,68.4,,,,,,,
288,Oakland,Horz,0-9,-10.47,97.6,108.1,73.1,,,,,,,
122,Ohio,MAC,4-3,4.46,104.3,99.8,70.3,,,,,,,
20,Ohio St.,B10,6-1,20.15,113.1,93,67.2,,,,,,,
41,Oklahoma,B12,5-2,16.77,111.8,95,71,,,,,,,
43,Oklahoma St.,B12,6-2,16.28,107.5,91.2,73.3,,,,,,,
120,Old Dominion,CUSA,4-2,4.74,102.9,98.2,69.5,,,,,,,
181,Oral Roberts,Sum,3-5,-1.86,103.8,105.6,72.9,,,,,,,
19,Oregon,P12,6-1,20.2,111.3,91.1,70.2,,,,,,,
